group,playbook,start1,end1,date1,title1,location1,start2,end2,date2,title2,location2,start3,end3,date3,title3,location3,start4,end4,date4,title4,location4,start5,end5,date5,title5,location5,start6,end6,date6,title6,location6,start7,end7,date7,title7,location7
sign responsible1,Academic,08.00.00,09.00.00,19/08/2024,Sign responsibility,Nørreport st (7/11),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sign responsible2,Academic,08.00.00,09.00.00,19/08/2024,Sign responsibility,Nørreport st (metro),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sign responsible3,Academic,08.00.00,09.00.00,19/08/2024,Sign responsibility,Kongens Nytorv (metro),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sign responsible4,Academic,08.00.00,09.00.00,19/08/2024,Sign responsibility,Islands Brygge (metro),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sign responsible5,Academic,08.00.00,09.00.00,19/08/2024,Sign responsibility,DR Byen (metro),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ice breaker ddit,Academic,10.30.00,11.30.00,19/08/2024,Ice breakers with DDIT,Aud3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ice breaker ds,Academic,10.15.00,11.30.00,19/08/2024,Ice breakers with DS,Aud2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ice breaker gbi,Academic,10.15.00,11.30.00,19/08/2024,Ice breakers with GBI,Aud0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ice breaker swu,Academic,10.00.00,11.15.00,19/08/2024,Ice breakers with SWU,Aud1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
academic ddit,Academic,08.30.00,15.30.00,19/08/2024,Academic hours DDIT,Aud3,09.15.00,15.00.00,20/08/2024,Academic hours DDIT,Aud3,09.00.00,16.00.00,21/08/2024,Academic hours DDIT,Aud3,15.30.00,16.00.00,19/08/2024,Academic debriefing,3a08,15.40.00,16.00.00,20/08/2024,Academic debriefing,3a08,16.10.00,16.30.00,21/08/2024,Academic debriefing,3a08,,,,,
academic ds,Academic,08.30.00,15.30.00,19/08/2024,Academic hours DS,Aud2,09.30.00,15.00.00,20/08/2024,Academic hours DS,Aud2,09.30.00,15.30.00,21/08/2024,Academic hours DS,Aud2,15.30.00,16.00.00,19/08/2024,Academic debriefing,3a08,15.40.00,16.00.00,20/08/2024,Academic debriefing,3a08,16.10.00,16.30.00,21/08/2024,Academic debriefing,3a08,,,,,
academic gbi,Academic,08.30.00,15.30.00,19/08/2024,Academic hours GBI,Aud0,09.30.00,15.00.00,20/08/2024,Academic hours GBI,Aud0,09.30.00,16.00.00,21/08/2024,Academic hours GBI,Aud0,15.30.00,16.00.00,19/08/2024,Academic debriefing,3a08,15.40.00,16.00.00,20/08/2024,Academic debriefing,3a08,16.10.00,16.30.00,21/08/2024,Academic debriefing,3a08,,,,,
academic swu,Academic,08.30.00,15.30.00,19/08/2024,Academic hours SWU,Aud1,10.00.00,15.00.00,20/08/2024,Academic hours SWU,Aud1,09.30.00,15.30.00,21/08/2024,Academic hours SWU,Aud1,15.30.00,16.00.00,19/08/2024,Academic debriefing,3a08,15.40.00,16.00.00,20/08/2024,Academic debriefing,3a08,16.10.00,16.30.00,21/08/2024,Academic debriefing,3a08,,,,,
studyline gbi,Academic,14.05.00,14.35.00,20/08/2024,Study line pitch for SWU,Aud1,10.05.00,10.35.00,21/08/2024,Study line pitch for DS,Aud2,12.35.00,13.05.00,19/08/2024,Study line pitch for DDIT,Aud3,,,,,,,,,,,,,,,,,,,,
studyline swu,Academic,10.05.00,10.35.00,21/08/2024,Study line pitch for DS,Aud2,11.45.00,12.15.00,22/08/2024,Study line pitch for GBI,Aud0,12.35.00,13.05.00,19/08/2024,Study line pitch for DDIT,Aud3,,,,,,,,,,,,,,,,,,,,
studyline ds,Academic,14.05.00,14.35.00,20/08/2024,Study line pitch for SWU,Aud1,11.45.00,12.15.00,22/08/2024,Study line pitch for GBI,Aud0,12.35.00,13.05.00,19/08/2024,Study line pitch for DDIT,Aud3,,,,,,,,,,,,,,,,,,,,
studyline ddit,Academic,14.05.00,14.35.00,20/08/2024,Study line pitch for SWU,Aud1,10.05.00,10.35.00,21/08/2024,Study line pitch for DS,Aud2,11.45.00,12.15.00,22/08/2024,Study line pitch for GBI,Aud0,,,,,,,,,,,,,,,,,,,,
extra ddit buddy,Academic,13.15.00,13.45.00,19/08/2024,Buddy Presentations in DDIT ,Aud3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mg theme group,Activity,14.30.00,15.00.00,19/08/2024,Monday Games - Walker meeting,,15.30.00,17.00.00,19/08/2024,Monday Games - Theme groups meet,Atrium,17.00.00,19.00.00,19/08/2024,Monday Games with your theme group,Gr?nningen,,,,,,,,,,,,,,,,,,,,
mg clean,Activity,21.30.00,22.00.00,19/08/2024,Monday cleanup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mg responsible,Activity,12.00.00,19.00.00,19/08/2024,Overall responsibility for Monday Games,,14.00.00,14.20.00,19/08/2024,Monday Games - Post meeting,,14.30.00,15.00.00,19/08/2024,Monday Games - Walker meeting,,,,,,,,,,,,,,,,,,,,,
mon go-to,Activity,18.30.00,22.30.00,19/08/2024,Monday Go-to shift,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mg post,Activity,14.00.00,14.20.00,19/08/2024,Monday Games - Post meeting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bh monday,,08.00.00,15.30.00,21/08/2024,Buddy hygge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bh tuesday,,08.00.00,15.30.00,22/08/2024,Buddy hygge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bh wednesday,,08.00.00,15.30.00,23/08/2024,Buddy hygge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
